Station,id,modes
Acton Town Underground Station,4900ZZLUACT1,tube
Aldgate East Underground Station,4900ZZLUADE1,tube
Aldgate Underground Station,4900ZZLUALD1,tube
Alperton Underground Station,4900ZZLUALP1,tube
Amersham Underground Station,0400ZZLUAMS0,tube
Amersham,HUBAMR,"bus,national-rail,tube"
Angel Underground Station,4900ZZLUAGL1,tube
Archway Underground Station,4900ZZLUACY1,tube
Arnos Grove Underground Station,4900ZZLUASG1,tube
Arsenal Underground Station,4900ZZLUASL1,tube
Baker Street Underground Station,4900ZZLUBST1,tube
Balham Underground Station,4900ZZLUBLM1,tube
Balham,HUBBAL,"bus,national-rail,tube"
Bank Underground Station,4900ZZLUBNK2,tube
Bank,HUBBAN,"bus,dlr,tube"
Barbican Underground Station,4900ZZLUBBN1,tube
Barking Underground Station,9400ZZLUBKG,tube
Barking,HUBBKG,"bus,national-rail,overground,tube"
Barkingside Underground Station,4900ZZLUBKE1,tube
Barons Court Underground Station,4900ZZLUBSC1,tube
Battersea Power Station Underground Station,9400ZZBPSUST,tube
Bayswater Underground Station,4900ZZLUBWT1,tube
Becontree Underground Station,4900ZZLUBEC1,tube
Belsize Park Underground Station,4900ZZLUBZP1,tube
Bermondsey Underground Station,4900ZZLUBMY1,tube
Bethnal Green Underground Station,4900ZZLUBLG1,tube
Blackfriars Underground Station,4900ZZLUBKF0,tube
Blackfriars,HUBBFR,"bus,national-rail,tube"
Blackhorse Road Underground Station,9400ZZLUBLR,tube
Blackhorse Road,HUBBHO,"bus,overground,tube"
Bond Street Underground Station,4900ZZLUBND1,tube
Bond Street,HUBBDS,tube
Borough Underground Station,4900ZZLUBOR1,tube
Boston Manor Underground Station,4900ZZLUBOS1,tube
Bounds Green Underground Station,4900ZZLUBDS1,tube
Bow Road Underground Station,4900ZZLUBWR1,tube
Brent Cross Underground Station,4900ZZLUBTX1,tube
Brixton Underground Station,4900ZZLUBXN1,tube
Brixton,HUBBRX,"bus,national-rail,tube"
Bromley-By-Bow Underground Station,4900ZZLUBBB1,tube
Bromley-by-Bow Underground Station,9400ZZLUBBB,tube
Buckhurst Hill Underground Station,1500ZZLUBKH0,tube
Burnt Oak Underground Station,4900ZZLUBTK1,tube
Caledonian Road Underground Station,4900ZZLUCAR1,tube
Camden Town Underground Station,4900ZZLUCTN1,tube
Canada Water Underground Station,9400ZZLUCWR,tube
Canada Water,HUBZCW,"bus,overground,tube"
Canary Wharf Station,4900ZZLUCYF1,tube
Canary Wharf Underground Station,9400ZZLUCYF,tube
Canary Wharf,HUBCAW,"bus,dlr,elizabeth-line,tube"
Canning Town Underground Station,9400ZZLUCGT,tube
Canning Town,HUBCAN,"bus,dlr,tube"
Cannon Street Underground Station,4900ZZLUCST,tube
Cannon Street,HUBCST,"bus,national-rail,tube"
Canons Park Underground Station,4900ZZLUCPK1,tube
